Qty;Value;Device;Parts;OC_DIGIKEY
3;;B39871B3717U410;U8, U9, U11;495-3734-1-ND
9;;BLM15PG100SN1D0402;FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9;490-5976-1-ND
1;;BLM18PG121SH1D;FB10;490-7815-1-ND
1;;SX1308;U5;SX1308IMLTRTCT-ND
1;0;R-EU_R0402;R15;541-4062-1-ND
2;0R;R-EU_R0402;R1, R2;541-4062-1-ND
1;1.5pF;C-EUC0402;C68;490-6212-1-ND
6;100;R-EU_R0402;R11, R13, R14, R18, R19, R22;541-100ATCT-ND
2;100k;R-EU_R0402;R8, R9;311-100KJRCT-ND
22;100nF;C-EUC0402;C8, C12, C13, C17, C18, C19, C20, C21, C26, C27, C30, C31, C32, C33, C35, C39, C41, C42, C49, C50, C52, C74;478-7888-1-ND
1;10k;R-EU_R0402;R5;311-100KJRCT-ND
3;10k;R-EU_R0402;R4, R10, R12;541-10KJCT-ND
5;10nF;C-EUC0402;C24, C43, C51, C60, C75;478-7867-1-ND
2;10uF;C-EUC0805;C7, C10;1276-2399-1-ND
2;10uF;C-EUC1206;C2, C3;490-5525-1-ND
2;10µF;C-EUC0805;C23, C36;1276-2399-1-ND
1;150pF;C-EUC0402;C62;311-1025-1-ND
1;18;R-EU_R0402;R24;A129606CT-ND
1;1k;R-EU_R0402;R3;541-1.0KJCT-ND
3;1nF;C-EUC0402;C40, C48, C64;490-6348-1-ND
2;1uF;C-EUC0805;C9, C11;490-1691-1-ND
1;1µF;C-EUC0402;C16;478-4596-1-ND
9;1µF;C-EUC0603;C25, C34, C37, C38, C45, C46, C47, C53, C54;490-1543-1-ND
1;1µF;C-EUC0805;C5;490-1691-1-ND
1;2.2uF;C-EUC0603;C6;1276-1878-1-ND
2;2.2µ;ASPI-0418;L1, L2;535-10759-1-ND
1;2.7nH;L-EU0402;L8;490-1137-1-ND
1;2.7pF;C-EUC0402;C71;490-6229-1-ND
1;22pF;C-EUC0402;C63;490-11382-1-ND
2;22uF;C-EUC1206;C1, C4;445-6001-1-ND
1;3.3nH;L-EU0402;L5;490-6809-1-ND
3;3.3pF;C-EUC0402;C59, C65, C69;490-6238-1-ND
1;3.9nH;L-EU0402;L4;490-6815-1-ND
2;300;R-EU_R0402;R23, R25;RMCF0402FT300RCT-ND
1;33nH;L-EU0402;L3;490-1152-1-ND
1;33pF;C-EUC0402;C66;490-5936-1-ND
1;4.7nH;L-EU0402;L6;490-1139-1-ND
3;4.7µF;C-EUC0603;C14, C15, C58;1276-1905-1-ND
2;470;R-EU_R0402;R16, R17;311-470JRCT-ND
2;49R9;R-EU_R0402;R26, R27;541-3967-1-ND
2;5.1pF;C-EUC0402;C70, C72;490-8215-1-ND
2;5.6nH;L-EU0402;L9, L10;490-6834-1-ND
1;5.6pF;C-EUC0402;C57;490-6250-1-ND
8;56pF;C-EUC0402;C22, C28, C29, C44, C55, C56, C61, C73;490-1288-1-ND
1;6.2nH;L-EU0402;L11;490-1141-1-ND
1;6.8nH;L-EU0402;L7;490-1142-1-ND
1;7.5pF;C-EUC0402;C67;490-8227-1-ND
2;BAT54XV2T1G;BAT54XV2T1G;D5, D6;BAT54XV2T1GOSCT-ND
1;END4263A;END4263A;X4;644-1328-1-ND
1;END4825A;END4825A;X3;644-1329-1-ND
2;EXB-N8V101JX;EXB-N8V101JX;R20, R21;Y10101CT-ND
2;KXT121LHS;KXT121LHS;S1, S2;CKN10778CT-ND
1;LTST-C191KGKT;LTST-C191KGKT;P1;160-1446-1-ND
2;LTST-C930KGKT;LTST-C930KGKT;P2, P3;160-1463-1-ND
1;LXES15AAA1-153;LXES15AAA1-153;D7;490-13210-1-ND
1;MCU Prog Header;MICROMATCH-6;X2;A30729TR-ND
1;MCU Prog Header;MICROMATCH-6;;A99463TR-ND
4;RCLAMP0531T;RCLAMP0531T;D1, D2, D3, D4; RCLAMP0531TTCTCT-ND
1;SC283;SC283;U1;SC283WLCT-ND
1;SC560H;SC560H;U2;SC560HULCT-ND
1;SE2435L;SE2435L;U10; 863-1349-1-ND
1;SMA-KE11;SMA-KE11;X5;931-1175-ND
1;SPI_Debug;PINHD-1X6;JP1;
1;STM32F401CDU6;STM32F401CDU6;U4;497-17427-ND
1;SX1257;SX1257;U6;SX1257IWLTRTCT-ND 
1;SX1257;SX1257;U7;SX1257IWLTRTCT-ND
1;TPS7A80;TPS7A80;IC1;296-48375-1-ND
1;USB2-MICRO;USB2-MICRO;X1;609-4052-1-ND
